id,title,company,location,lat,lon,office,job_type,salary,time_recorded,url
ab879edf06e639bc,"Data Scientist - R, Python, Java, Scala, SQL - US citizen/TS/SCI CI w poly req",Resiliency LLC,"Chantilly, VA",38.8941543,-77.4311513,in_person,,Estimated $99.8K - $126K a year,7/13/2023 22:07,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cltd6uxyKZUA0mlAqwrWOAqYzaNWMNQvrQPrmFJNyQddAtz7srjl1C04CmA54wNj0i19hx4sRhANSZJo-HqD6G5MttJ0a6BC9uiRXl3LU1V2aLAVq7mkq0VFspNcd3CahgAq_5z-LIl5Fgj2KjWiKhmGZMum997y5DC0gnq1mUE_lveu2KvQ9hd3BvSELMf9WNl6Jze833WRgfaAVP7qTI9uhmuAJ8ccuxv2J3Bf3sVBvFufacWQX6r8Jb443hLmQGuisUnudNd0y_Z0zNUv50RD-F_29V84-T8nEx84D0F-AZ8N6bae1TT8HAj52cFMqpiCcT4QERtvnAPcRO6op8RxUHUz4rrrhu-IS8HlzBxFEuPnHFnEfwGRVmNxBnT_Rv0tLbJrxo0hk8rAf1JqUOqbokOra1PdhR4T_fup8TBd9QcZUBNVqbskiMelcz-UPl--ogvIpIu_LlDX6gritFUtp4hsR6sFG7bDR1FCZQNdIjdTkjvu1EMhPe4wXNId-KidxSOwaSJx7JEzb24qqL7ZcHCDhUo7s4nAvj8y_xlxFyPcrvH2BBhryhLZ8XofxIIr4OgE8nwj6Zs_9pseKluLZmPWmUbrSU16gk5czqqXhup_keSvmuqDOazlNcmS3ydJ0yEq6N5sDWpra_gulQCLp3I1BKA0A=&xkcb=SoDn-_M3NpRQ8qwfXJ0LbzkdCdPP&p=0&fvj=0&vjs=3
8ca71e3235f42d17,Data Scientist,Hire IT people,"Bentonville, AR 72712",36.36236162,-94.22313863,in_person,,,7/13/2023 22:07,https://www.indeed.com/company/hire-IT-people/jobs/Data-Scientist-8ca71e3235f42d17?fccid=339fc89548d64eee&vjs=3
1498d97bf5be4769,Data Scientist,My IT LLC,"Fort Meade, FL 33841",27.7522526,-81.8017491,in_person,,,7/13/2023 22:07,https://www.indeed.com/company/My-IT-LLC/jobs/Data-Scientist-1498d97bf5be4769?fccid=81e7b2d328e360d8&vjs=3
af5ddfb93c43cddf,Data Scientist,LT Technology Services,Arizona,34.395342,-111.763275,in_person,,Estimated $96.4K - $122K a year,7/13/2023 22:07,https://www.indeed.com/rc/clk?jk=af5ddfb93c43cddf&fccid=4ed03476a1620afb&vjs=3
bc873f5bca6aa2a3,Staff Data Scientist,Salesforce,"Seattle, WA",47.6038321,-122.330062,in_person,,,7/13/2023 22:08,https://www.indeed.com/rc/clk?jk=bc873f5bca6aa2a3&fccid=4027cfd917e1ee29&vjs=3
f58faeadf4586368,AI Engineer Systems Architect with Secret Clearance,APR Consulting Inc,"Orlando, FL 32826",28.5421109,-81.3790304,in_person,,,7/13/2023 22:08,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DKYEYS6AaSgPeXyWAkdM8_YPNZv0Ej8KjQCXpwSuT3KC425TBam5XQ2SKCRyv7tTzzwhfA8JyEThjuVKql3UcCSdHyNNu1nMhFTxmvZ-DdJIp_Ge0nW_CtdTyQ5YEyLMTkyw-7oeEaeIypfiDv8UF0boBQEKK7Kcop_LE4-24qLeiNUcJI-JqP2drCdbQ790zrNZd6dK2LRYERR6C7sQ1_iAnNJzfcjii6vFzsecgAeJ2nJDw5bEubCqGk23DiSjpm6LjqTmKquoKv-I8i2_D1ir-4ca39vUnyw8JdRSrxzeO-pjLjH3m3g7kNV8NMFRAGb4uDjDySR4er8mZhTYkLnoECP_oakvEjE26Y5cBMd9ewlsDh4Myk7-KaUjq5-7g0LalalNU9EixCrjDumYON2Ka5_1EhJUMsXVoHv3EaYS_MQor-rKjiGsbM1PGCnqyZUYjksWkcPnIVqfKnG5ThWRCx_ZcfRPIsv482Nc8WuQ-7BMV3T0ywlkZvz5uEebN_b80hKJv41NkFIDkEOVayY5TI5Xuj7Htu_f2kfYrS6gGSGmUlEl8EXyuKiy6owYxqjYC0rX-l21Yp94H5IoV2_54IC4i7uPPeKSrqAZodVwY9GvYGBoJJngt4G5WwIa0=&xkcb=SoAn-_M3NpRQ8qwfXJ0GbzkdCdPP&p=13&fvj=0&vjs=3
11d9cfdf62aff034,Senior Finance Data Analyst,"Tek Intelligence, Inc.","Jacksonville, FL",30.3321838,-81.655651,in_person,,,7/13/2023 22:08,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BxkLIcfe0oqaYINownie861a0BJtkzmJW-WyGv8J0JYC1BalQsVb8vm6GXOnJn5rnBeYRh_Otz7ubWJ_4NitLUKTCPjBBFgW-rEm5Li2NK3UwroC5iZkDgsWVbNkFMDJV8NP5vnJK59NOlnKDtU2VhxjUk8db1P-Ui72Zi3IMbDzEKeWWR8ik1yGPwETPguS_M1jKshemIlGqMiQwojXyNsmNF_AAkzr6I3F0SjIHtwguUki8WaqV4r-N3OnIS9fx67_fJGfill1PhvuBNNVnQwcPveG9cbtMCfGtX2w-dJ1vpgpI2I49Pg7v_1JCWXKDMA3UDqEXqhZnsIKXPewBXo9rCI1LBiTQQzW-F4J5Cw9zz2eG0Ay8mf6AV4kemlO_3_CEu_doZHvtq294qL1xzviKpgpqeAkt-YGBjaiq4_4OSX55h5EiK2REAfGgD8YrJUAPdPWSrvinIt-1vA7sBXPjbS-xyH6C57YDZiaJLCliE2Tu4fKLs_mIBn6T2iuQHo4dcIAgNFojcUFIogoxTxgy5pEzFFy4SaYVfDg0Ibw==&xkcb=SoDC-_M3NpRn5lQdkR0LbzkdCdPP&p=0&fvj=1&vjs=3
30f9d25192ff1d0c,Data Scientist,Four Hands,"Austin, TX 78744",30.18583946,-97.73752607,in_person,,Estimated $102K - $129K a year,7/13/2023 22:08,https://www.indeed.com/rc/clk?jk=30f9d25192ff1d0c&fccid=a8851719c7ba7f98&vjs=3
385feaf1ccb207a3,"Data Scientist, Product Analytics",Meta,"Redmond, WA",47.6694141,-122.1238767,in_person,,,7/13/2023 22:08,https://www.indeed.com/rc/clk?jk=385feaf1ccb207a3&fccid=ba07516c418dda52&vjs=3
7d96b5d6583de053,Data Scientist,Triple-S Steel,"Houston, TX 77026 
(Eastex - Jensen area)",29.79447285,-95.3324935,in_person,,Estimated $103K - $130K a year,7/13/2023 22:09,https://www.indeed.com/rc/clk?jk=7d96b5d6583de053&fccid=71ce6fb088b35faf&vjs=3
